Tanggal,Interval Mulai,Interval Selesai,t (interval),count,durasi aktif,lag1,lag2,lag3,lag4,lag5,lag6,avg30,avg60,delta1,label
2026-05-14 00:00:00,2026-05-14 22:35:49,2026-05-14 22:45:39,60,24,202.602,11,18,10,26,36,35,17.667,20.833,13,tinggi
2026-05-14 00:00:00,2026-05-14 22:45:54,2026-05-14 22:55:39,61,31,261.6,24,11,18,10,26,36,22,20,7,tinggi
2026-05-14 00:00:00,2026-05-14 22:55:51,2026-05-14 23:05:39,62,22,185.4,31,24,11,18,10,26,25.667,19.333,-9,tinggi
2026-05-14 00:00:00,2026-05-14 23:05:53,2026-05-14 23:15:39,63,5,39.1,22,31,24,11,18,10,19.333,18.5,-17,tinggi
2026-05-14 00:00:00,2026-05-14 23:15:50,2026-05-14 23:25:39,64,0,0,5,22,31,24,11,18,9,15.5,-5,rendah
2026-05-14 00:00:00,2026-05-14 23:25:51,2026-05-14 23:35:39,65,0,0,0,5,22,31,24,11,1.667,13.667,0,rendah
2026-05-14 00:00:00,2026-05-14 23:35:47,2026-05-14 23:45:39,66,0,0,0,0,5,22,31,24,0,9.667,0,rendah
2026-05-14 00:00:00,2026-05-14 23:45:47,2026-05-14 23:55:39,67,0,0,0,0,0,5,22,31,0,4.5,0,rendah
2026-05-15 00:00:00,2026-05-14 23:55:48,2026-05-15 00:05:39,68,0,0,0,0,0,0,5,22,0,0.833,0,rendah
2026-05-15 00:00:00,2026-05-15 00:05:56,2026-05-15 00:15:40,69,0,0,0,0,0,0,0,5,0,0,0,rendah
2026-05-15 00:00:00,2026-05-15 00:15:53,2026-05-15 00:25:40,70,0,0,0,0,0,0,0,0,0,0,0,rendah
2026-05-15 00:00:00,2026-05-15 00:25:50,2026-05-15 00:35:40,71,7,59.7,0,0,0,0,0,0,2.333,1.167,7,tinggi
2026-05-15 00:00:00,2026-05-15 00:35:50,2026-05-15 00:45:40,72,0,0,7,0,0,0,0,0,2.333,1.167,-7,rendah
2026-05-15 00:00:00,2026-05-15 00:45:51,2026-05-15 00:55:40,73,5,42.5,0,7,0,0,0,0,4,2,5,tinggi
2026-05-15 00:00:00,2026-05-15 00:55:51,2026-05-15 01:05:40,74,2,17.1,5,0,7,0,0,0,2.333,2.333,-3,sedang
2026-05-15 00:00:00,2026-05-15 01:05:47,2026-05-15 01:15:40,75,2,17.2,2,5,0,7,0,0,3,2.667,0,sedang
2026-05-15 00:00:00,2026-05-15 01:15:46,2026-05-15 01:25:40,76,2,17.1,2,2,5,0,7,0,2,3,0,sedang
2026-05-15 00:00:00,2026-05-15 01:25:47,2026-05-15 01:35:40,77,0,0,2,2,2,5,0,7,1.333,1.833,-2,rendah
2026-05-15 00:00:00,2026-05-15 01:35:51,2026-05-15 01:45:40,78,0,0,0,2,2,2,5,0,0.667,1.833,0,rendah
2026-05-15 00:00:00,2026-05-15 01:45:51,2026-05-15 01:55:40,79,2,17.101,0,0,2,2,2,5,0.667,1.333,2,sedang
2026-05-15 00:00:00,2026-05-15 01:55:55,2026-05-15 02:05:40,80,7,74.265,2,0,0,2,2,2,3,2.167,5,tinggi
2026-05-15 00:00:00,2026-05-15 02:05:47,2026-05-15 02:15:40,81,19,158.9,7,2,0,0,2,2,9.333,5,12,tinggi
2026-05-15 00:00:00,2026-05-15 02:15:48,2026-05-15 02:25:40,82,22,180.5,19,7,2,0,0,2,16,8.333,3,tinggi
2026-05-15 00:00:00,2026-05-15 02:25:51,2026-05-15 02:35:40,83,28,235.7,22,19,7,2,0,0,23,13,6,tinggi
2026-05-15 00:00:00,2026-05-15 02:35:50,2026-05-15 02:45:40,84,29,260.378,28,22,19,7,2,0,26.333,17.833,1,tinggi
2026-05-15 00:00:00,2026-05-15 02:45:51,2026-05-15 02:55:40,85,3,38.866,29,28,22,19,7,2,20,18,-26,sedang
2026-05-15 00:00:00,2026-05-15 02:55:49,2026-05-15 03:05:40,86,3,23.1,3,29,28,22,19,7,11.667,17.333,0,sedang
2026-05-15 00:00:00,2026-05-15 03:05:51,2026-05-15 03:15:40,87,1,8.5,3,3,29,28,22,19,2.333,14.333,-2,sedang
2026-05-15 00:00:00,2026-05-15 03:15:47,2026-05-15 03:25:40,88,1,8.5,1,3,3,29,28,22,1.667,10.833,0,sedang
2026-05-15 00:00:00,2026-05-15 03:25:49,2026-05-15 03:35:40,89,1,0.3,1,1,3,3,29,28,1,6.333,0,sedang
2026-05-15 00:00:00,2026-05-15 03:35:48,2026-05-15 03:45:40,90,1,8.5,1,1,1,3,3,29,1,1.667,0,sedang
2026-05-15 00:00:00,2026-05-15 03:45:51,2026-05-15 03:55:40,91,0,0,1,1,1,1,3,3,0.667,1.167,-1,rendah
2026-05-15 00:00:00,2026-05-15 03:55:47,2026-05-15 04:05:40,92,13,111.1,0,1,1,1,1,3,4.667,2.833,13,tinggi
2026-05-15 00:00:00,2026-05-15 04:05:47,2026-05-15 04:15:40,93,26,217.301,13,0,1,1,1,1,13,7,13,tinggi
2026-05-15 00:00:00,2026-05-15 04:15:53,2026-05-15 04:25:40,94,12,117.311,26,13,0,1,1,1,17,8.833,-14,tinggi
2026-05-15 00:00:00,2026-05-15 04:25:49,2026-05-15 04:35:40,95,29,259.783,12,26,13,0,1,1,22.333,13.5,17,tinggi
2026-05-15 00:00:00,2026-05-15 04:35:54,2026-05-15 04:45:40,96,13,107.3,29,12,26,13,0,1,18,15.5,-16,tinggi
2026-05-15 00:00:00,2026-05-15 04:45:47,2026-05-15 04:55:40,97,1,8.5,13,29,12,26,13,0,14.333,15.667,-12,sedang
2026-05-15 00:00:00,2026-05-15 04:55:51,2026-05-15 05:05:41,98,1,8.5,1,13,29,12,26,13,5,13.667,0,sedang
2026-05-15 00:00:00,2026-05-15 05:05:52,2026-05-15 05:15:41,99,1,8.5,1,1,13,29,12,26,1,9.5,0,sedang
2026-05-15 00:00:00,2026-05-15 05:15:54,2026-05-15 05:25:41,100,4,34.1,1,1,1,13,29,12,2,8.167,3,sedang
2026-05-15 00:00:00,2026-05-15 05:25:47,2026-05-15 05:35:41,101,7,55.3,4,1,1,1,13,29,4,4.5,3,tinggi
2026-05-15 00:00:00,2026-05-15 05:35:52,2026-05-15 05:45:41,102,0,0,7,4,1,1,1,13,3.667,2.333,-7,rendah
2026-05-15 00:00:00,2026-05-15 05:45:51,2026-05-15 05:55:41,103,1,8.5,0,7,4,1,1,1,2.667,2.333,1,sedang
2026-05-15 00:00:00,2026-05-15 05:55:48,2026-05-15 06:05:41,104,0,0,1,0,7,4,1,1,0.333,2.167,-1,rendah
2026-05-15 00:00:00,2026-05-15 06:05:48,2026-05-15 06:15:41,105,0,0,0,1,0,7,4,1,0.333,2,0,rendah
2026-05-15 00:00:00,2026-05-15 06:15:50,2026-05-15 06:25:41,106,1,8.6,0,0,1,0,7,4,0.333,1.5,1,sedang
2026-05-15 00:00:00,2026-05-15 06:25:48,2026-05-15 06:35:41,107,1,8.5,1,0,0,1,0,7,0.667,0.5,0,sedang
2026-05-15 00:00:00,2026-05-15 06:35:48,2026-05-15 06:45:41,108,1,8.5,1,1,0,0,1,0,1,0.667,0,sedang
2026-05-15 00:00:00,2026-05-15 06:45:48,2026-05-15 06:55:41,109,0,0,1,1,1,0,0,1,0.667,0.5,-1,rendah
2026-05-15 00:00:00,2026-05-15 06:55:51,2026-05-15 07:05:41,110,0,0,0,1,1,1,0,0,0.333,0.5,0,rendah
2026-05-15 00:00:00,2026-05-15 07:05:52,2026-05-15 07:15:41,111,5,43,0,0,1,1,1,0,1.667,1.333,5,tinggi
2026-05-15 00:00:00,2026-05-15 07:15:49,2026-05-15 07:25:41,112,0,0,5,0,0,1,1,1,1.667,1.167,-5,rendah
2026-05-15 00:00:00,2026-05-15 07:25:54,2026-05-15 07:35:41,113,1,8.5,0,5,0,0,1,1,2,1.167,1,sedang
2026-05-15 00:00:00,2026-05-15 07:35:51,2026-05-15 07:45:41,114,0,0,1,0,5,0,0,1,0.333,1,-1,rendah
2026-05-15 00:00:00,2026-05-15 07:45:49,2026-05-15 07:55:41,115,2,17,0,1,0,5,0,0,1,1.333,2,sedang
2026-05-15 00:00:00,2026-05-15 07:55:53,2026-05-15 08:05:42,116,1,8.5,2,0,1,0,5,0,1,1.5,-1,sedang
2026-05-15 00:00:00,2026-05-15 08:05:49,2026-05-15 08:15:42,117,9,76.801,1,2,0,1,0,5,4,2.167,8,tinggi
2026-05-15 00:00:00,2026-05-15 08:15:49,2026-05-15 08:25:42,118,1,22.377,9,1,2,0,1,0,3.667,2.333,-8,sedang
2026-05-15 00:00:00,2026-05-15 08:25:52,2026-05-15 08:35:42,119,1,8.5,1,9,1,2,0,1,3.667,2.333,0,sedang
2026-05-15 00:00:00,2026-05-15 08:35:55,2026-05-15 08:45:42,120,10,85.2,1,1,9,1,2,0,4,4,9,tinggi
2026-05-15 00:00:00,2026-05-15 08:45:48,2026-05-15 08:55:42,121,8,68.201,10,1,1,9,1,2,6.333,5,-2,tinggi
2026-05-15 00:00:00,2026-05-15 08:55:52,2026-05-15 09:05:42,122,8,68,8,10,1,1,9,1,8.667,6.167,0,tinggi
2026-05-15 00:00:00,2026-05-15 09:05:52,2026-05-15 09:15:42,123,2,17.1,8,8,10,1,1,9,6,5,-6,sedang
2026-05-15 00:00:00,2026-05-15 09:15:50,2026-05-15 09:25:42,124,2,17,2,8,8,10,1,1,4,5.167,0,sedang
2026-05-15 00:00:00,2026-05-15 09:25:50,2026-05-15 09:35:42,125,3,25.5,2,2,8,8,10,1,2.333,5.5,1,sedang
2026-05-15 00:00:00,2026-05-15 09:35:52,2026-05-15 09:45:42,126,2,17.1,3,2,2,8,8,10,2.333,4.167,-1,sedang
2026-05-15 00:00:00,2026-05-15 09:45:49,2026-05-15 09:55:42,127,5,42.8,2,3,2,2,8,8,3.333,3.667,3,tinggi
2026-05-15 00:00:00,2026-05-15 09:55:50,2026-05-15 10:05:42,128,4,34.2,5,2,3,2,2,8,3.667,3,-1,sedang
2026-05-15 00:00:00,2026-05-15 10:05:50,2026-05-15 10:15:42,129,2,17.1,4,5,2,3,2,2,3.667,3,-2,sedang
2026-05-15 00:00:00,2026-05-15 10:15:48,2026-05-15 10:25:42,130,1,8.5,2,4,5,2,3,2,2.333,2.833,-1,sedang
2026-05-15 00:00:00,2026-05-15 10:25:48,2026-05-15 10:35:42,131,0,0,1,2,4,5,2,3,1,2.333,-1,rendah
2026-05-15 00:00:00,2026-05-15 10:35:50,2026-05-15 10:45:42,132,0,0,0,1,2,4,5,2,0.333,2,0,rendah
2026-05-15 00:00:00,2026-05-15 10:45:49,2026-05-15 10:55:42,133,1,8.5,0,0,1,2,4,5,0.333,1.333,1,sedang
2026-05-15 00:00:00,2026-05-15 10:55:52,2026-05-15 11:05:42,134,1,8.5,1,0,0,1,2,4,0.667,0.833,0,sedang
2026-05-15 00:00:00,2026-05-15 11:05:54,2026-05-15 11:15:42,135,4,34,1,1,0,0,1,2,2,1.167,3,sedang
2026-05-15 00:00:00,2026-05-15 11:15:50,2026-05-15 11:25:42,136,12,102,4,1,1,0,0,1,5.667,3,8,tinggi
2026-05-15 00:00:00,2026-05-15 11:25:51,2026-05-15 11:35:42,137,5,41,12,4,1,1,0,0,7,3.833,-7,tinggi
2026-05-15 00:00:00,2026-05-15 11:35:53,2026-05-15 11:45:42,138,0,0,5,12,4,1,1,0,5.667,3.833,-5,rendah
2026-05-15 00:00:00,2026-05-15 11:45:58,2026-05-15 11:55:42,139,3,21.301,0,5,12,4,1,1,2.667,4.167,3,sedang
2026-05-15 00:00:00,2026-05-15 11:55:52,2026-05-15 12:05:42,140,1,8.5,3,0,5,12,4,1,1.333,4.167,-2,sedang
2026-05-15 00:00:00,2026-05-15 12:05:51,2026-05-15 12:15:42,141,2,17,1,3,0,5,12,4,2,3.833,1,sedang
2026-05-15 00:00:00,2026-05-15 12:15:52,2026-05-15 12:25:42,142,4,34.001,2,1,3,0,5,12,2.333,2.5,2,sedang
2026-05-15 00:00:00,2026-05-15 12:25:51,2026-05-15 12:35:43,143,4,34,4,2,1,3,0,5,3.333,2.333,0,sedang
2026-05-15 00:00:00,2026-05-15 12:35:51,2026-05-15 12:45:43,144,2,17,4,4,2,1,3,0,3.333,2.667,-2,sedang
2026-05-15 00:00:00,2026-05-15 12:45:52,2026-05-15 12:55:43,145,2,17,2,4,4,2,1,3,2.667,2.5,0,sedang
2026-05-15 00:00:00,2026-05-15 12:55:51,2026-05-15 13:05:43,146,2,17,2,2,4,4,2,1,2,2.667,0,sedang
2026-05-15 00:00:00,2026-05-15 13:05:51,2026-05-15 13:15:43,147,2,17.001,2,2,2,4,4,2,2,2.667,0,sedang
2026-05-15 00:00:00,2026-05-15 13:15:50,2026-05-15 13:25:43,148,4,33.9,2,2,2,2,4,4,2.667,2.667,2,sedang
2026-05-15 00:00:00,2026-05-15 13:25:50,2026-05-15 13:35:43,149,0,0,4,2,2,2,2,4,2,2,-4,rendah
